stage,impl,context,sample,batch_ns,batch_count
T1,engine,,0,4131200,1000
T1,engine,,1,3784800,1000
T1,engine,,2,3818600,1000
T1,engine,,3,4355000,1000
T1,engine,,4,3950000,1000
T1,engine,,5,3759300,1000
T1,engine,,6,3972100,1000
T1,engine,,7,4040700,1000
T1,engine,,8,3822900,1000
T1,engine,,9,3840000,1000
T1,engine,,10,3923500,1000
T1,engine,,11,4053400,1000
T1,engine,,12,3731200,1000
T1,engine,,13,3803100,1000
T1,engine,,14,3730300,1000
T1,engine,,15,4024300,1000
T1,engine,,16,3931400,1000
T1,engine,,17,4008800,1000
T1,engine,,18,3930900,1000
T1,engine,,19,4054000,1000
T1,engine,,20,4160900,1000
T1,engine,,21,4133300,1000
T1,engine,,22,4127000,1000
T1,engine,,23,4259100,1000
T1,engine,,24,3979600,1000
T1,engine,,25,3829100,1000
T1,engine,,26,3854000,1000
T1,engine,,27,4477300,1000
T1,engine,,28,4102200,1000
T1,engine,,29,4198900,1000
T1,engine,,30,4111700,1000
T1,engine,,31,4533300,1000
T1,engine,,32,4222100,1000
T1,engine,,33,3861400,1000
T1,engine,,34,4554800,1000
T1,engine,,35,4489400,1000
T1,engine,,36,4214800,1000
T1,engine,,37,4006400,1000
T1,engine,,38,4070000,1000
T1,engine,,39,4283300,1000
T1,engine,,40,3871500,1000
T1,engine,,41,4099800,1000
T1,engine,,42,5111800,1000
T1,engine,,43,4229500,1000
T1,engine,,44,3894600,1000
T1,engine,,45,4049200,1000
T1,engine,,46,4216900,1000
T1,engine,,47,3948800,1000
T1,engine,,48,3873600,1000
T1,engine,,49,3852100,1000
T1,engine,,50,4066800,1000
T1,engine,,51,3768400,1000
T1,engine,,52,3752000,1000
T1,engine,,53,3780200,1000
T1,engine,,54,4014200,1000
T1,engine,,55,3888900,1000
T1,engine,,56,3832300,1000
T1,engine,,57,3786100,1000
T1,engine,,58,4081200,1000
T1,engine,,59,3930400,1000
T1,engine,,60,3857600,1000
T1,engine,,61,3876400,1000
T1,engine,,62,4002800,1000
T1,engine,,63,3802900,1000
T1,engine,,64,3861500,1000
T1,engine,,65,3840000,1000
T1,engine,,66,3851800,1000
T1,engine,,67,4963800,1000
T1,engine,,68,3789500,1000
T1,engine,,69,4034800,1000
T1,engine,,70,4073800,1000
T1,engine,,71,3915000,1000
T1,engine,,72,3826300,1000
T1,engine,,73,3869400,1000
T1,engine,,74,3929000,1000
T1,engine,,75,4404500,1000
T1,engine,,76,3859100,1000
T1,engine,,77,4242800,1000
T1,engine,,78,4019600,1000
T1,engine,,79,3989300,1000
T1,engine,,80,3980300,1000
T1,engine,,81,4055200,1000
T1,engine,,82,3878100,1000
T1,engine,,83,4115900,1000
T1,engine,,84,3876700,1000
T1,engine,,85,4104300,1000
T1,engine,,86,4717400,1000
T1,engine,,87,4448200,1000
T1,engine,,88,4379500,1000
T1,engine,,89,3973200,1000
T1,engine,,90,4689700,1000
T1,engine,,91,3860800,1000
T1,engine,,92,3912000,1000
T1,engine,,93,4102500,1000
T1,engine,,94,3984900,1000
T1,engine,,95,3971800,1000
T1,engine,,96,3939400,1000
T1,engine,,97,3914800,1000
T1,engine,,98,3910900,1000
T1,engine,,99,3742000,1000
T1,monolithic,,0,3700,1000
T1,monolithic,,1,3700,1000
T1,monolithic,,2,3700,1000
T1,monolithic,,3,3700,1000
T1,monolithic,,4,3600,1000
T1,monolithic,,5,3700,1000
T1,monolithic,,6,3600,1000
T1,monolithic,,7,3100,1000
T1,monolithic,,8,3100,1000
T1,monolithic,,9,3100,1000
T1,monolithic,,10,3100,1000
T1,monolithic,,11,3100,1000
T1,monolithic,,12,3100,1000
T1,monolithic,,13,3100,1000
T1,monolithic,,14,3000,1000
T1,monolithic,,15,3100,1000
T1,monolithic,,16,3000,1000
T1,monolithic,,17,3100,1000
T1,monolithic,,18,3100,1000
T1,monolithic,,19,3100,1000
T1,monolithic,,20,3100,1000
T1,monolithic,,21,3100,1000
T1,monolithic,,22,3100,1000
T1,monolithic,,23,3100,1000
T1,monolithic,,24,3100,1000
T1,monolithic,,25,3100,1000
T1,monolithic,,26,3100,1000
T1,monolithic,,27,3100,1000
T1,monolithic,,28,3100,1000
T1,monolithic,,29,3100,1000
T1,monolithic,,30,3000,1000
T1,monolithic,,31,3100,1000
T1,monolithic,,32,3100,1000
T1,monolithic,,33,3100,1000
T1,monolithic,,34,3200,1000
T1,monolithic,,35,3100,1000
T1,monolithic,,36,3100,1000
T1,monolithic,,37,3000,1000
T1,monolithic,,38,3100,1000
T1,monolithic,,39,3100,1000
T1,monolithic,,40,3000,1000
T1,monolithic,,41,3100,1000
T1,monolithic,,42,3100,1000
T1,monolithic,,43,3100,1000
T1,monolithic,,44,3100,1000
T1,monolithic,,45,3000,1000
T1,monolithic,,46,3100,1000
T1,monolithic,,47,3100,1000
T1,monolithic,,48,3100,1000
T1,monolithic,,49,3100,1000
T1,monolithic,,50,3100,1000
T1,monolithic,,51,3100,1000
T1,monolithic,,52,3100,1000
T1,monolithic,,53,3100,1000
T1,monolithic,,54,3000,1000
T1,monolithic,,55,3000,1000
T1,monolithic,,56,3000,1000
T1,monolithic,,57,3000,1000
T1,monolithic,,58,3000,1000
T1,monolithic,,59,3000,1000
T1,monolithic,,60,3000,1000
T1,monolithic,,61,3100,1000
T1,monolithic,,62,3100,1000
T1,monolithic,,63,3100,1000
T1,monolithic,,64,3000,1000
T1,monolithic,,65,3000,1000
T1,monolithic,,66,3000,1000
T1,monolithic,,67,3000,1000
T1,monolithic,,68,3000,1000
T1,monolithic,,69,3000,1000
T1,monolithic,,70,3000,1000
T1,monolithic,,71,3000,1000
T1,monolithic,,72,3000,1000
T1,monolithic,,73,3100,1000
T1,monolithic,,74,5000,1000
T1,monolithic,,75,3100,1000
T1,monolithic,,76,3100,1000
T1,monolithic,,77,3100,1000
T1,monolithic,,78,3100,1000
T1,monolithic,,79,3100,1000
T1,monolithic,,80,3000,1000
T1,monolithic,,81,3100,1000
T1,monolithic,,82,3100,1000
T1,monolithic,,83,3000,1000
T1,monolithic,,84,3100,1000
T1,monolithic,,85,3000,1000
T1,monolithic,,86,3100,1000
T1,monolithic,,87,3000,1000
T1,monolithic,,88,3100,1000
T1,monolithic,,89,3100,1000
T1,monolithic,,90,3000,1000
T1,monolithic,,91,3100,1000
T1,monolithic,,92,3000,1000
T1,monolithic,,93,3000,1000
T1,monolithic,,94,3100,1000
T1,monolithic,,95,3000,1000
T1,monolithic,,96,3100,1000
T1,monolithic,,97,3000,1000
T1,monolithic,,98,3000,1000
T1,monolithic,,99,3100,1000
T2,engine,,0,2638600,1000
T2,engine,,1,2442800,1000
T2,engine,,2,2275500,1000
T2,engine,,3,2643000,1000
T2,engine,,4,2358100,1000
T2,engine,,5,2495500,1000
T2,engine,,6,2264700,1000
T2,engine,,7,2593500,1000
T2,engine,,8,2358800,1000
T2,engine,,9,2496900,1000
T2,engine,,10,2331400,1000
T2,engine,,11,2548400,1000
T2,engine,,12,2594200,1000
T2,engine,,13,2588100,1000
T2,engine,,14,2671200,1000
T2,engine,,15,2484100,1000
T2,engine,,16,2609600,1000
T2,engine,,17,2330800,1000
T2,engine,,18,2558700,1000
T2,engine,,19,2360900,1000
T2,engine,,20,2551000,1000
T2,engine,,21,2344400,1000
T2,engine,,22,2487000,1000
T2,engine,,23,2431400,1000
T2,engine,,24,2742700,1000
T2,engine,,25,2498800,1000
T2,engine,,26,2686700,1000
T2,engine,,27,2478900,1000
T2,engine,,28,2671400,1000
T2,engine,,29,2377600,1000
T2,engine,,30,2668700,1000
T2,engine,,31,2573800,1000
T2,engine,,32,2417400,1000
T2,engine,,33,2822200,1000
T2,engine,,34,2298100,1000
T2,engine,,35,2679700,1000
T2,engine,,36,2313400,1000
T2,engine,,37,2703900,1000
T2,engine,,38,2558200,1000
T2,engine,,39,2700200,1000
T2,engine,,40,2406500,1000
T2,engine,,41,2697600,1000
T2,engine,,42,3563500,1000
T2,engine,,43,2891300,1000
T2,engine,,44,2692100,1000
T2,engine,,45,2433800,1000
T2,engine,,46,2637900,1000
T2,engine,,47,2301600,1000
T2,engine,,48,2738700,1000
T2,engine,,49,2527100,1000
T2,engine,,50,2841200,1000
T2,engine,,51,2430400,1000
T2,engine,,52,2687700,1000
T2,engine,,53,2764000,1000
T2,engine,,54,2562800,1000
T2,engine,,55,2599900,1000
T2,engine,,56,2566600,1000
T2,engine,,57,2593900,1000
T2,engine,,58,2420200,1000
T2,engine,,59,2580500,1000
T2,engine,,60,2477900,1000
T2,engine,,61,2599000,1000
T2,engine,,62,2405000,1000
T2,engine,,63,2614500,1000
T2,engine,,64,2340900,1000
T2,engine,,65,2591300,1000
T2,engine,,66,2338900,1000
T2,engine,,67,2598200,1000
T2,engine,,68,2273100,1000
T2,engine,,69,2628500,1000
T2,engine,,70,2327100,1000
T2,engine,,71,2445800,1000
T2,engine,,72,2304600,1000
T2,engine,,73,2569900,1000
T2,engine,,74,2304400,1000
T2,engine,,75,2489900,1000
T2,engine,,76,2471800,1000
T2,engine,,77,2493800,1000
T2,engine,,78,2363100,1000
T2,engine,,79,2463100,1000
T2,engine,,80,2527400,1000
T2,engine,,81,2491900,1000
T2,engine,,82,2355800,1000
T2,engine,,83,2596300,1000
T2,engine,,84,2526200,1000
T2,engine,,85,2533400,1000
T2,engine,,86,2305400,1000
T2,engine,,87,2492500,1000
T2,engine,,88,2329300,1000
T2,engine,,89,2662200,1000
T2,engine,,90,2374700,1000
T2,engine,,91,2567700,1000
T2,engine,,92,2461200,1000
T2,engine,,93,2684900,1000
T2,engine,,94,2472200,1000
T2,engine,,95,3001800,1000
T2,engine,,96,2853900,1000
T2,engine,,97,2456400,1000
T2,engine,,98,2577500,1000
T2,engine,,99,2511600,1000
